Name,Url,Authority,Started On,Finished On,License Number
Crash Course on Python,https://coursera.org/share/8314b83f804f0b1cf62d586998de38cf,Google,Oct 2020,,
Python Data Structures,https://coursera.org/share/71051477c0eda0ae14abbbdaa6b2aefc,University of Michigan,Oct 2020,,
"Python Function, files and dictionaries",https://coursera.org/share/732df7ec3d22d6941cd9cc59da5a9c14,University of Michigan,Oct 2020,,
Python Classes and Inheritance,https://coursera.org/share/9de73b86665fcf415c93876fff600328,University of Michigan,Oct 2020,,
Design and Analysis of Algorithms,https://drive.google.com/file/d/1J9dukVTeUZYka3VvOoJn2A8u73C6fXJe/view?usp=drive_link,SWAYAM MHRD,,,
Introduction to programming through C++,,SWAYAM MHRD,,,
Machine Learning,https://coursera.org/share/e1339d7cc03456fbbfa3413795131d05,University of London,Jun 2021,,
Virtual Engineering Program,https://insidesherpa.s3.amazonaws.com/completion-certificates/Goldman%20Sachs/NPdeQ43o8P9HJmJzg_Goldman%20Sachs_nb6KpvohBMGKAMvuG_1636780358597_completion_certificate.pdf,Goldman Sachs,Nov 2021,,
Uber HackTag 2.0,https://drive.google.com/file/d/1L0a5NrdjaNm4EmMnGm13qmO_IQkIybVQ/view?usp=drive_link,Uber,Apr 2022,,
Designing for a Sustainable Future,https://drive.google.com/file/d/13P2W_3lTrELgpwvvLpDh9jxDHXb15269/view?usp=sharing,Samsung Electronics,May 2022,,
Execute 2.0 Hackathon,https://drive.google.com/file/d/1SdhcYXpYMsO3JukUxSIymjrvUWKx43W-/view?usp=sharing,Delhi Technological University (Formerly DCE),May 2022,,
Introduction to Mobile Development,https://www.coursera.org/account/accomplishments/verify/9MAASKXS8EKZ,Meta,Aug 2022,,
