Title,Description,Url,Started On,Finished On
Online Examination System (B.Tech Project),A web based application which provides a  platform for smooth conductal of MCQ examinations. This application has a 𝐝𝐮𝐚𝐥 layer of authentication which involves 𝐅𝐚𝐜𝐢𝐚𝐥 𝐑𝐞𝐜𝐨𝐠𝐧𝐢𝐭𝐢𝐨𝐧 using 𝐏𝐲𝐭𝐡𝐨𝐧.,https://github.com/mrityu98/online_examination_system,Nov 2021,Jun 2022
Student Management System,"A 𝐉𝐚𝐯𝐚 Application, where information management of the students can be done easily. This application uses 𝐉𝐚𝐯𝐚 along with the 𝐌𝐲𝐒𝐐𝐋 𝐃𝐚𝐭𝐚𝐛𝐚𝐬𝐞 for storing the data.",https://github.com/mrityu98/student_management_system/tree/master,Aug 2021,Sep 2021
Wikipedia Text Summarizer,A Natural Language Processing based project using the 𝐀𝐛𝐬𝐭𝐫𝐚𝐜𝐭𝐢𝐯𝐞 𝐓𝐞𝐱𝐭 𝐒𝐮𝐦𝐦𝐚𝐫𝐢𝐳𝐚𝐭𝐢𝐨𝐧 technique. Uses the 𝐅𝐥𝐚𝐬𝐤 𝐖𝐞𝐛 𝐅𝐫𝐚𝐦𝐞𝐰𝐨𝐫𝐤 for handling the client requests.,https://github.com/mrityu98/wikipedia_text_summarizer/tree/master,Jan 2022,Feb 2022
Tic-Tac-Toe,A simple tic-tac-toe game using C++.,https://github.com/mrityu98/tic_tac_toe_cplusplus/tree/master,Jul 2021,Jul 2021
ATM Application,A simple 𝐂++ 𝐬𝐢𝐦𝐮𝐥𝐚𝐭𝐢𝐨𝐧 of an ATM Machine.,https://github.com/mrityu98/atm_cplusplus/tree/master,Aug 2021,Aug 2021
Simple Calculator Using React.Js,A simple calculator implemented using the 𝐮𝐬𝐞𝐑𝐞𝐝𝐮𝐜𝐞𝐫 Hook of ReactJs with number formatting in the 𝐈𝐧𝐝𝐢𝐚𝐧 𝐍𝐮𝐦𝐛𝐞𝐫 𝐒𝐲𝐬𝐭𝐞𝐦. This calculator 𝐝𝐨𝐞𝐬 𝐧𝐨𝐭 use any function(s) of the Math Library of Javascript !!!,https://react-calculator98.netlify.app/,Jun 2022,Jun 2022
Booking.com UI Clone (Desktop/PC/Laptop Version),"This UI is a clone of the official 𝐁𝐨𝐨𝐤𝐢𝐧𝐠.𝐜𝐨𝐦 website. I have used 𝐑𝐞𝐚𝐜𝐭.𝐣𝐬 to implement it. To 𝐧𝐚𝐯𝐢𝐠𝐚𝐭𝐞 from one page to another, I have used the 𝐬𝐭𝐚𝐧𝐝𝐚𝐫𝐝 𝐫𝐨𝐮𝐭𝐢𝐧𝐠 𝐥𝐢𝐛𝐫𝐚𝐫𝐲 of React.js, the 𝐑𝐞𝐚𝐜𝐭 𝐑𝐨𝐮𝐭𝐞𝐫. To create 𝐜𝐚𝐫𝐨𝐮𝐬𝐞𝐥𝐬 I have used the 𝐑𝐞𝐚𝐜𝐭 𝐒𝐥𝐢𝐜𝐤 library. As far as the 𝐇𝐨𝐨𝐤𝐬 are concerned, I have used the 𝐮𝐬𝐞𝐒𝐭𝐚𝐭𝐞 and the 𝐮𝐬𝐞𝐋𝐨𝐜𝐚𝐭𝐢𝐨𝐧 hooks. Last but not the least, I have also used 𝐑𝐞𝐚𝐜𝐭 𝐂𝐚𝐥𝐞𝐧𝐝𝐚𝐫 𝐥𝐢𝐛𝐫𝐚𝐫𝐲.",https://bookingdotcom-clone.netlify.app/,Jun 2022,Jul 2022
RESTful Api for Population of all the countries in the world,An 𝐀𝐩𝐢 service for providing population data of over 209 countries around the world. Uses  𝐄𝐱𝐩𝐫𝐞𝐬𝐬.𝐣𝐬 for handling the requests and returning the response. 𝐌𝐨𝐧𝐠𝐨𝐃𝐁 stores all the data in 𝐁𝐒𝐎𝐍 format.,https://github.com/mrityu98/restApi,Aug 2022,Aug 2022
mkc Search,A responsive search app built using 𝐑𝐞𝐚𝐜𝐭.𝐣𝐬. Supports the 𝐢𝐦𝐚𝐠𝐞 𝐬𝐞𝐚𝐫𝐜𝐡 functionality as well. The pages have been designed using 𝐓𝐚𝐢𝐥𝐰𝐢𝐧𝐝 𝐜𝐬𝐬. Uses the 𝐆𝐨𝐨𝐠𝐥𝐞 𝐒𝐞𝐚𝐫𝐜𝐡 api to fetch the results.,https://mkcsearch.netlify.app/,Dec 2022,Jan 2023
An IoMT based Biomedical Intelligent System for Healthier Aging,Modelling progression of Alzheimer's disease using Amyloid Beta as the biomarker.,,Jan 2023,
